alpha,mean_tau,median_tau,std_tau,mean_tau_frac,median_tau_frac,p25_tau_frac,p75_tau_frac,n_abstained,seed,dataset_key
0.2,202.25694444444446,103.5,243.75768971330376,0.2963658996775634,0.20261717413616148,0.07942547359893101,0.5004152823920266,432,3,olympiadMath_phi3
0.3,219.7145061728395,108.5,249.57718005041372,0.3145439450427427,0.21581552919459215,0.06546663746582304,0.549905035815064,648,3,olympiadMath_phi3
0.4,194.71296296296296,101.0,222.03959548150692,0.2864178039271548,0.18096003084436446,0.0445686173582515,0.4870587707913522,864,3,olympiadMath_phi3
0.5,160.2314814814815,89.0,186.44557871864683,0.2543455932925283,0.1484416754470353,0.031931404237853366,0.43704683736848776,1080,3,olympiadMath_phi3
0.6,119.31944444444444,46.0,159.81650779917405,0.20121617485005552,0.09135333415901094,0.013789713746461152,0.31122952685862576,1296,3,olympiadMath_phi3
0.7,86.4973544973545,20.5,138.78678307757724,0.15578016948275353,0.03835238105614085,0.0029253068133728312,0.20846036585365854,1512,3,olympiadMath_phi3
0.8,67.51851851851852,10.0,115.0810337674736,0.13816248728983033,0.019138755980861243,0.0007275149316416818,0.15754063488600414,1728,3,olympiadMath_phi3
0.9,44.46347736625514,2.0,89.50175127287756,0.10526478739180291,0.0038424627196220287,0.0,0.07238130341634223,1944,3,olympiadMath_phi3
0.1,219.58333333333334,149.5,207.23301096430882,0.34437136791093875,0.28521735667884,0.13755083996463308,0.499688990255028,216,4,olympiadMath_phi3
0.2,215.5162037037037,132.5,232.7005998743545,0.3200362001150311,0.2585018916955104,0.09915025503785539,0.5003243625783876,432,4,olympiadMath_phi3
0.3,206.6929012345679,118.5,235.22962870610593,0.304394521905521,0.2200265965394615,0.07707727209753394,0.499688990255028,648,4,olympiadMath_phi3
0.4,181.2974537037037,87.5,222.74141229860163,0.2632160265122953,0.16182862081738486,0.038750339819325484,0.4294800866849552,864,4,olympiadMath_phi3
0.5,147.65648148148148,58.0,196.33622794185192,0.22600923621581526,0.11563929467315921,0.0171030568190579,0.38759436717694434,1080,4,olympiadMath_phi3
0.6,106.05478395061728,25.0,161.0190184839467,0.17534904635385132,0.045417710328569325,0.004600385957882083,0.26193721880629245,1296,4,olympiadMath_phi3
0.7,73.57936507936508,7.0,131.81327601167573,0.13273267638796207,0.013233658313158411,0.000738553643994268,0.14955439098060908,1512,4,olympiadMath_phi3
0.8,56.125,2.0,108.12459323408822,0.11494142014831678,0.004314999627615997,0.0,0.1053974609714041,1728,4,olympiadMath_phi3
0.9,37.29372427983539,0.0,83.98771246669955,0.08942426814893159,0.0,0.0,0.04322908486045416,1944,4,olympiadMath_phi3
0.1,430.9675925925926,313.0,566.7329404592712,0.4540002771457686,0.4411457712036264,0.2214205501763316,0.6867035168422615,216,0,olympiadMath_qwen
0.2,343.39351851851853,226.5,464.13614277716454,0.3626965969826696,0.30995664072218077,0.11982613452318384,0.5596269982238011,432,0,olympiadMath_qwen
0.3,264.64506172839504,137.0,388.7727611617004,0.27762937551563305,0.1757684942583297,0.05688045769346582,0.43625387149014816,648,0,olympiadMath_qwen
0.4,228.39467592592592,82.5,329.60862807750607,0.23521996031308776,0.10290887973814802,0.022459313750188944,0.3820964542576611,864,0,olympiadMath_qwen
0.5,190.9638888888889,52.0,273.4207915494782,0.20080307527382976,0.06653587401527133,0.016216724588871773,0.3022548062178173,1080,0,olympiadMath_qwen
0.6,154.54012345679013,28.0,245.7951287224555,0.16917621819259998,0.03869016626748585,0.011390855496336366,0.231312292358804,1296,0,olympiadMath_qwen
0.7,118.17857142857143,19.0,197.72130756886637,0.13906146447114903,0.02556212862578154,0.00787366494479163,0.19226007672444023,1512,0,olympiadMath_qwen
0.8,87.90682870370371,10.0,170.88629937616392,0.112463972247029,0.010762770615955701,0.001301250988798953,0.1136936255983875,1728,0,olympiadMath_qwen
0.9,64.18415637860082,4.0,141.96718320444464,0.09730870632696413,0.00530202784242305,0.0,0.055069876399771414,1944,0,olympiadMath_qwen
0.1,371.8333333333333,213.0,474.1332247531434,0.3913811868757074,0.30196302302236044,0.11754151421334083,0.6723397435897436,216,1,olympiadMath_qwen
0.2,334.7986111111111,190.0,444.36018683745635,0.34804588266452846,0.25681829075396634,0.09887113243326472,0.5861262836791082,432,1,olympiadMath_qwen
0.3,285.8533950617284,120.0,402.8456400159142,0.28826602551662917,0.16543764447718726,0.044663195137712566,0.4924988192010341,648,1,olympiadMath_qwen
